26.30.2;32500000-8
24.10.1;44470000-5
25.73.3;44512000-2
28.22.1;42141000-9
23.91.1;14522000-6
25.73.2;44511000-5
26.51.3;38311000-8
32.50.4;33734000-4
28.30.4;16311000-8
30.99.1;18425000-4
26.51.6;30192000-1
25.73.6;43830000-0
23.61.1;44114200-4
13.94.1;39541100-7
22.19.1;19514000-2
22.19.3;44165100-4
22.19.4;34312700-4
22.19.5;19513000-5
22.19.7;44425110-9
14.19.1;18000000-9
17.24.1;39190000-0
20.30.1;44800000-8
20.30.2;44800000-4
20.52.1;24910000-6
22.29.2;35121500-3
22.19.6;18812000-4
23.42.1;44411000-4
25.72.1;44520000-1
32.91.1;39224000-8
22.21.3;44424000-8
27.51.1;39710000-2
27.51.2;39710000-2
22.23.1;44112000-8
16.21.1;44191000-5
14.19.2;35113430-2
32.99.1;18444200-5
23.31.1;44113120-2
25.92.1;44616000-1
25.73.1;44511000-5
27.40.2;31520000-7
23.52.1;44920000-5
23.62.1;44920000-5
23.64.1;44920000-5
13.94.1;39541000-6
08.11.3;44922000-9
25.94.1;44530000-4
25.73.3;44512000-2
25.29.1;44600000-6
13.96.1;44115710-9
14.12.3;18224000-5
23.63.1;44114000-2
23.69.1;44114200-4
23.64.1;44114100-3
28.13.3;42124000-4
25.21.1;44620000-2
28.14.2;42132000-3
28.13.1;42122130-0
28.13.2;42123400-1
24.20.2;44167000-8
17.23.1;30199000-0
17.21.1;30193000-8
17.12.1;22991000-3
22.29.2;30192000-1
25.99.2;30197000-6
28.23.1;30141000-9
27.20.1;31411000-0
20.30.2;22600000-6
17.12.2;33761000-2
20.41.3;33711000-7
20.41.2;39831000-6
32.91.1;39224000-8
22.19.6;18424000-7
20.60.2;19.442000-6
13.92.2;39525000-8
13.92.2;35821000-5
45.32.1;34900000-6
22.11.1;34351100-3
27.20.2;31440000-2
58.19.1;22410000-7
27.11.1;31100000-7
27.90.6;31700000-3
26.51.5;38410000-2
27.12.1;31120000-1
27.12.2;31210000-1
26.11.4;31210000-1
26.11.2;31700000-3
27.11.6;31161000-2
27.90.1;44100000-1
27.90.4;31720000-9
27.90.5;31710000-6
27.51.3;39710000-2
27.40.1;31500000-1
27.40.3;31500000-1
27.40.4;31532000-4
27.11.4;31170000-8
26.51.4;38410000-2
27.11.5;31158000-8
27.20.2;31400000-0
27.33.1;31220000-4
27.32.1;44318000-2
26.51.6;38540000-2
20.30.1;44800000-8
13.20.4;14830000-8
17.12.7;30197000-6
13.20.3;39563000-6
28.15.1;44440000-6
16.10.1;03410000-7
16.10.2;03410000-7
16.10.3;03410000-7
24.10.6;44331000-9
24.33.1;44212510-7
24.10.3;16622000-7
24.10.4;14622000-7
24.10.7;44112120-5
25.99.2;44423710-1
25.21.1;44621110-3
28.14.1;42131270-9
28.14.2;42132000-3
25.99.1;44411000-4
22.21.2;19520000-7
23.14.1;14830000-8
23.99.1;44112600-4
17.12.6;37823300-6
17.12.6;37823000-3
23.32.1;44111100-2
13.92.2;35111200-7
22.29.2;35111500-0
28.29.2;35111300-8
25.73.1;35111510-3
25.99.2;25111000-5
10.51.1;15511000-3
27.11.3;31100000-7
26.51.6;38540000-2
27.11.1;31100000-7
27.90.6;31711131-0
26.51.5;38410000-2
27.12.1;31210000-1
27.12.2;31210000-1
26.11.4;31210000-1
26.11.2;31712330-2
27.11.6;31161000-2
27.90.4;31720000-9
27.90.5;31711150-9
27.51.3;39710000-2
27.40.1;31500000-1
27.40.4;31532000-4
27.90.3;42662000-4
28.13.2;42123400-1
26.51.4;38410000-2
27.32.1;44318000-2
27.90.3;42662000-4
27.11.2;31110000-0
27.31.1;44321000-6
25.93.1;39541220-4
20.11.1;24110000-8
24.44.2;14715000-6
24.31.3;14700000-8
08.12.1;14211000-3
08.93.1;14400000-5
24.34.1;44333000-3
15.20.1;18810000-0
25.94.1;44531000-1
23.51.1;44111200-3
08.11.2;24213000-0
23.11.1;14820000-5
23.32.1;44111100-2
08.99.1;44113600-1
25.93.1;44310000-6
17.12.7;30199720-3
20.41.2;39820000-6
11.07.1;15981000-8
08.12.2;14220000-9
23.99.1;44112000-8
24.34.1;44333000-3
23.20.1;44111520-2
23.51.1;44111200-3
20.59.4;09211000-1
19.20.2;09100000-0
17.23.1;30199000-0
05.10.1;09111000-0
24.20.1;44163000-0
26.51.5;38424000-3
25.99.2;34992000-7
19.20.3;09122000-0
24.20.4;44167000-8
28.12.2;44164000-7
19.20.2;09000000-3
14.12.3;18113000-4
08.93.1;14400000-5
14.12.3;18224000-5
21.20.1;33600000-6
31.09.1;39000000-2
28.25.1;39717000-1
22.23.1;44221000-5
27.11.2;31110000-0
05.10.1;09111000-0
27.51.2;39710000-2
29.32.3;34330000-9
22.11.1;34350000-5
28.14.2;42132000-3
25.11.2;42997000-1
